study_hours,attendance,sleep_hours,phone_time,stress_level,passed
5.993428306022466,85.70612997219531,6.364360476965945,7.451387585629542,3.6430105390255565,1
4.72347139765763,89.68184660532862,6.319878837424219,4.243688928264908,4.389001073892694,1
6.295377076201385,76.68691616816677,4.306535241054977,5.5068349468421856,3.8052378779097142,1
8.046059712816051,73.8776326549225,6.504864712447844,4.199652630199536,5.220836093892239,1
4.531693250553328,69.14849473442202,8.099243622732617,2.6653332375670393,7.3943570629238256,1
4.531726086101639,71.74589470021044,5.088651821384808,0.0,3.457915685717591,1
8.158425631014783,100.0,8.572723976575888,4.410911374072605,7.001640995536828,1
6.534869458305818,92.44679580736786,7.731662231626507,2.448786790795218,3.436655855306225,1
4.061051228130096,66.48925633791978,5.898650017043443,2.3993291876693927,3.3047455750062316,0
6.085120087171929,66.7754204325643,6.787705543993229,3.0020254880417765,6.637189236686426,1
4.0731646143750755,84.81866061718492,9.39748271146155,7.489722813246987,6.843872756015234,0
4.068540492859486,85.47264797377967,8.1003217202588,8.809675084507946,6.702819873525309,0
5.483924543132068,85.48883835317365,7.013175482347222,4.434415875056802,2.3684051835637177,1
1.1734395106844042,77.45044206446302,6.643475024558524,3.0704655521765445,4.0680980438558985,0
1.5501643349739345,78.745457399971,7.114913605677489,1.6455471650975793,6.645977184006643,0
3.8754249415180544,83.27879524159357,6.232354663086545,4.937080323092138,5.083083681127789,0
2.9743377593311524,80.85893006293331,3.8428757414214783,7.5658112001302875,2.8526143076050716,0
5.628494665190548,57.80699627252465,10.063266865802095,3.5053192259496866,5.916635878250883,1
3.1839518489575784,77.70200369424806,7.232987498799102,0.0,3.570385482017059,1
2.175392597329417,71.48593565739687,7.597220897683806,5.3400993436310475,8.589049696784425,0
7.931297537843108,81.75211418908512,6.913138375184637,5.9707994229000985,8.089682924836517,1
4.548447399026928,100.0,5.897324798913118,0.8283087192283052,6.208194852711134,1
5.1350564093758475,83.67481665474304,6.721113278576844,4.352968367325905,7.722013409539548,0
2.1505036275730864,76.86470313827603,4.600907856708533,4.902452032272198,5.129582700246762,0
